semester,subject
1,Basic Electronics Engineering
1,Foundations of Computer Science
1,Computer Programming Concept & Practice
1,Engineering Mathematics-I
1,Language & Writing Skills
1,Innovation
1,Environmental Science
2,Digital Logic & Design
2,Data Structure & Algorithms
2,Object Oriented Programming Language
2,Engineering Mathematics-II
2,Humanities
2,Entrepreneurship Studies
2,Consciousness and Values
3,Analysis & Design of Algorithm
3,Computer Organization and Architecture
3,Theory of Computation
3,Database Management System
3,Python Programming
3,Probability and Random Process
4,Computer Network
4,Artificial Intelligence
4,Operating System
4,Java Programming
4,Compiler Design
4,Minor Project-I
4,Discrete Structure
5,Machine Learning
5,Software Engineering
5,Cryptography and Network Security
5,Elective 1 (DE)
5,Elective 2 (OE)
5,Linear and Nonlinear Optimization
5,Minor Project-II
6,Computer Graphics
6,Cloud Computing
6,Internet of Things
6,Elective 1 (DE)
6,Elective 2 (OE)
6,Elective 3 (OE)
6,Minor Project-III
7,Big Data Analytics
7,High Performance Computing
7,Elective 1 (DE)
7,Elective 2 (OE)
7,Major Project-I
7,Internship
8,Major Project-II
